date	discharge
970101	11
970102	10
970103	11
970104	12
970105	52
970106	48
970107	13
970108	7
970109	6
970110	5.4
970111	5
970112	4.5
970113	4.3
970114	4
970115	4.5
970116	5
970117	5.6
970118	5
970119	4.2
970120	3.8
970121	4.1
970122	100
970123	140
970124	30
970125	35
970126	56
970127	13
970128	120
970129	80
970130	20
970131	9
970201	7.6
970202	7
970203	17
970204	250
970205	518
970206	65
970207	26
970208	16
970209	12
970210	10
970211	9.4
970212	8.8
970213	9
970214	7.5
970215	7.2
970216	6.8
970217	6.3
970218	24
970219	119
970220	71
970221	125
970222	123
970223	41
970224	20
970225	14
970226	14
970227	1440
970228	370
970301	75
970302	372
970303	97
970304	42
970305	32
970306	85
970307	68
970308	44
970309	35
970310	94
970311	43
970312	22
970313	16
970314	261
970315	121
970316	32
970317	21
970318	18
970319	15
970320	14
970321	13
970322	12
970323	11
970324	10
970325	11
970326	65
970327	35
970328	18
970329	240
970330	100
970331	88
970401	38
970402	21
970403	16
970404	16
970405	24
970406	35
970407	17
970408	13
970409	11
970410	10
970411	9.9
970412	123
970413	154
970414	44
970415	24
970416	26
970417	200
970418	105
970419	38
970420	21
970421	16
970422	14
970423	12
970424	11
970425	10
970426	9.5
970427	9.4
970428	10
970429	9.9
970430	9.5
970501	9.6
970502	9.6
970503	21
970504	58
970505	26
970506	40
970507	26
970508	16
970509	18
970510	15
970511	13
970512	11
970513	10
970514	9.4
970515	9.3
970516	8.9
970517	8.4
970518	8.9
970519	120
970520	83
970521	22
970522	13
970523	10
970524	9.2
970525	914
970526	563
970527	72
970528	30
970529	22
970530	31
970531	508
970601	1410
970602	666
970603	107
970604	60
970605	34
970606	24
970607	19
970608	15
970609	14
970610	12
970611	12
970612	12
970613	13
970614	11
970615	10
970616	9.3
970617	8.4
970618	9.3
970619	8.7
970620	8.3
970621	9.5
970622	13
970623	11
970624	7.6
970625	10
970626	32
970627	19
970628	9.5
970629	24
970630	124
970701	34
970702	13
970703	8.6
970704	7
970705	6
970706	5.4
970707	5.2
970708	6.2
970709	336
970710	87
970711	20
970712	9.9
970713	7.4
970714	6.2
970715	5.9
970716	5.1
970717	4.7
970718	4.4
970719	4.1
970720	3.8
970721	3.6
970722	4.2
970723	4.3
970724	3.9
970725	3.8
970726	3.6
970727	3.4
970728	3.3
970729	3.1
970730	2.9
970731	2.9
970801	2.8
970802	3.6
970803	2.8
970804	8.8
970805	7.5
970806	3.9
970807	3.2
970808	2.8
970809	2.6
970810	2.6
970811	2.4
970812	2.7
970813	3.7
970814	4.3
970815	3.4
970816	7.6
970817	95
970818	67
970819	22
970820	8.8
970821	5.7
970822	4.4
970823	3.4
970824	4.3
970825	6.1
970826	5.7
970827	4.4
970828	3.5
970829	2.9
970830	2.8
970831	2.9
970901	2.8
970902	2.6
970903	2.6
970904	2.4
970905	2.4
970906	2.4
970907	2.3
970908	2.2
970909	2.3
970910	3.6
970911	2.5
970912	3
970913	3
970914	2.4
970915	2.1
970916	2
970917	2
970918	1.9
970919	2.2
970920	16
970921	43
970922	9.7
970923	4.9
970924	3.3
970925	2.6
970926	2.2
970927	2
970928	2.1
970929	1.7
970930	1.5
971001	1.6
971002	1.7
971003	1.7
971004	1.7
971005	1.5
971006	1.6
971007	1.5
971008	2.6
971009	3.2
971010	3
971011	3.3
971012	3.9
971013	3.9
971014	4.7
971015	3.8
971016	3.9
971017	3.4
971018	3.1
971019	3.4
971020	3.6
971021	3.9
971022	3.4
971023	3.5
971024	3.7
971025	4.4
971026	5.2
971027	5.1
971028	4.1
971029	3.7
971030	3.5
971031	3.4
971101	3.4
971102	3.3
971103	3.6
971104	3.5
971105	3.3
971106	3.3
971107	3.4
971108	3.3
971109	3.4
971110	3.5
971111	3.2
971112	3.1
971113	3.2
971114	4.6
971115	4.5
971116	4.1
971117	3.8
971118	3.6
971119	3.8
971120	4
971121	4.6
971122	6.4
971123	7.5
971124	6
971125	4.9
971126	4.8
971127	4.5
971128	9
971129	50
971130	39
971201	18
971202	12
971203	9
971204	26
971205	25
971206	14
971207	9.3
971208	7.7
971209	7.5
971210	90
971211	161
971212	48
971213	22
971214	14
971215	10
971216	8.9
971217	8.4
971218	9.2
971219	8.8
971220	8.1
971221	7.7
971222	8.1
971223	50
971224	39
971225	220
971226	113
971227	45
971228	22
971229	15
971230	12
971231	10
