date	concentration
970106	4.7
970113	3.6
970120	2.8
970127	2.8
970203	1.9
970210	3
970217	2.5
970224	6
970303	3.4
970310	4.4
970317	3.9
970324	3.1
970331	4.4
970407	2.6
970414	5.5
970421	3.8
970428	1.7
970505	3.8
970512	2.3
970519	2.3
970526	7.6
970602	4.3
970609	3.9
970616	2.5
970623	2.2
970630	5.7
970707	3.2
970714	3.7
970721	1.8
970728	1.2
970804	1
970811	0.8
970818	1.8
970825	1.3
970901	0.7
970908	0.6
970915	0.7
970922	2.1
970929	0.8
971006	0.2
971013	0
971020	0
971027	0.2
971103	0
971110	0.1
971117	0.1
971124	0.5
971201	6.8
971208	4.1
971215	4.7
971222	3
971229	5.3
